dataset,analysis_target,model,model_family,stability_scope,feature_subset,kendalls_w,chi_square,degrees_of_freedom,p_value,n_seeds,n_features,features_used,status,metric_direction,source_artifact,direct_model_specific,limitation_note,proxy_note
heloc,Available LightGBM SHAP stability protocol,LightGBM,lightgbm,reduced,all_features,0.9949714285714286,348.24,7.0,2.9338275101893857e-71,50.0,8.0,revolving_burden_proxy; delinquency_intensity; credit_history_length_proxy; recent_inquiry_pressure; trade_activity_ratio; high_utilization_signal; installment_burden_proxy; negative_trade_signal,computed_from_existing_seed_results,higher_is_better,outputs/tables/external_validation_heloc_shap_stability_seed_results.csv,True,"This is a LightGBM seed-stability protocol. It is directly computed for LightGBM, not for CatBoost, Scorecard, or SCRE ensemble variants.",
heloc,Available LightGBM SHAP stability protocol,LightGBM,lightgbm,reduced,top_5_features,1.0,200.0,4.0,3.75727673578106e-42,50.0,5.0,revolving_burden_proxy; delinquency_intensity; credit_history_length_proxy; recent_inquiry_pressure; trade_activity_ratio,computed_from_existing_seed_results,higher_is_better,outputs/tables/external_validation_heloc_shap_stability_seed_results.csv,True,"This is a LightGBM seed-stability protocol. It is directly computed for LightGBM, not for CatBoost, Scorecard, or SCRE ensemble variants.",
heloc,Available LightGBM SHAP stability protocol,LightGBM,lightgbm,reduced,top_10_features,0.9949714285714286,348.24,7.0,2.9338275101893857e-71,50.0,8.0,revolving_burden_proxy; delinquency_intensity; credit_history_length_proxy; recent_inquiry_pressure; trade_activity_ratio; high_utilization_signal; installment_burden_proxy; negative_trade_signal,computed_from_existing_seed_results,higher_is_better,outputs/tables/external_validation_heloc_shap_stability_seed_results.csv,True,"This is a LightGBM seed-stability protocol. It is directly computed for LightGBM, not for CatBoost, Scorecard, or SCRE ensemble variants.",
heloc,Available LightGBM SHAP stability protocol,LightGBM,lightgbm,reduced,mid_importance_features,,,,,50.0,0.0,,not_available_insufficient_mid_importance_features,higher_is_better,outputs/tables/external_validation_heloc_shap_stability_seed_results.csv,True,"This is a LightGBM seed-stability protocol. It is directly computed for LightGBM, not for CatBoost, Scorecard, or SCRE ensemble variants.",
heloc,Final HELOC model,Best Scorecard,Best Scorecard,not_available,all_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,The final HELOC operational model is Best Scorecard; current HELOC seed-level SHAP stability artifacts were produced for LightGBM only.,This is expected because Scorecard explanations are not SHAP seed-rank artifacts here.
heloc,Final HELOC model,Best Scorecard,Best Scorecard,not_available,top_5_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,The final HELOC operational model is Best Scorecard; current HELOC seed-level SHAP stability artifacts were produced for LightGBM only.,This is expected because Scorecard explanations are not SHAP seed-rank artifacts here.
heloc,Final HELOC model,Best Scorecard,Best Scorecard,not_available,top_10_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,The final HELOC operational model is Best Scorecard; current HELOC seed-level SHAP stability artifacts were produced for LightGBM only.,This is expected because Scorecard explanations are not SHAP seed-rank artifacts here.
heloc,Final HELOC model,Best Scorecard,Best Scorecard,not_available,mid_importance_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,The final HELOC operational model is Best Scorecard; current HELOC seed-level SHAP stability artifacts were produced for LightGBM only.,This is expected because Scorecard explanations are not SHAP seed-rank artifacts here.
heloc,SCRE-Pareto,SCRE-Pareto,SCRE-Pareto,not_available,all_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,SCRE-Pareto is a probability ensemble over calibrated base models. The current project does not contain seed-level model-agnostic SHAP rankings for this ensemble.,Do not report the LightGBM W as direct SCRE ensemble stability.
heloc,SCRE-Pareto,SCRE-Pareto,SCRE-Pareto,not_available,top_5_features,,,,,,,,not_computed_from_current_seed_results,higher_is_better,,False,SCRE-Pareto is a probability ensemble over calibrated base models. The current project does not contain seed-level model-agnostic SHAP rankings for this ensemble.,Do not report the LightGBM W as direct SCRE ensemble stability.
