check,status,evidence
stratified_train_validation_test_split,pass,Phase 5 split summaries use a 60/20/20 stratified split with the central random seed.
test_set_reserved,pass,Test split is used only for final metric calculation; SCRE threshold and review-band search use internal validation probabilities.
row_wise_feature_engineering_only_before_split,pass,Feature dictionaries mark uses_target=False and uses_dataset_level_statistics=False.
no_global_mean_or_target_encoding,pass,No target encoding or global mean encoding is implemented; categorical variables use one-hot encoding inside pipelines.
scaling_fit_only_on_train_fold,pass,StandardScaler is inside sklearn Pipeline/ColumnTransformer and is fit after splitting or inside CV folds.
encoding_fit_only_on_train_fold,pass,OneHotEncoder is inside sklearn Pipeline/ColumnTransformer and is fit after splitting or inside CV folds.
missing_imputation_fit_only_on_train_fold,pass,SCRE-Credit preprocessors use SimpleImputer inside model pipelines; HELOC missing values are preserved until pipeline fit.
resampling_only_inside_train_fold,pass,SMOTE/SMOTENC/SMOTEENN are wrapped in imbalanced-learn pipelines and are not applied to full data or test data.
taiwan_id_excluded_from_model_features,pass,ID is retained only in interim data and removed from data/processed/taiwan_model_ready.csv.
heloc_original_target_removed,pass,RiskPerformance is mapped to bad_flag and removed from cleaned/model-ready HELOC tables.
calibration_policy,pass,CV-based calibration is allowed on training data; test predictions are not used to fit calibrators.
dataset_level_statistics_policy,pass,"Any future dataset-level statistic must be implemented as a train-fitted transformer, not precomputed on full data."
duplicate_feature_profile_overlap_audit,pass,Exact feature-profile overlaps across splits are reported in duplicate_split_overlap_audit.csv.
