process_step,train_used,validation_used,test_used,allowed_or_not,leakage_risk,final_status,notes
raw_data_loading,True,False,False,allowed,LOW,PASS,Raw files are read before splitting; no target-derived fitting.
cleaning_category_mapping,True,False,False,allowed,LOW,PASS,Taiwan EDUCATION/MARRIAGE mappings and HELOC special-code handling are target-free.
row_wise_feature_engineering,True,False,False,allowed,LOW,PASS,Features are row-wise and do not use target or fitted dataset statistics.
model_training,True,False,False,allowed,LOW,PASS,Models are fitted on train data.
preprocessing_fit,True,False,False,allowed only on train/pipeline folds,MEDIUM if done globally,PASS/guarded,Imputation/scaling/encoding should be fitted inside train-fold pipelines.
calibration_fit,False,True,False,allowed on validation/calibration split,MEDIUM,PASS with caveat,V2 documents calibration-policy caveat and no test calibration fit.
threshold_selection,False,True,False,allowed on validation only,CRITICAL if test used,PASS,V2 selection is validation-only.
manual_review_band_selection,False,True,False,allowed on validation only,CRITICAL if test used,PASS,Locked policy selected before held-out test.
final_locked_test_evaluation,False,False,True,allowed after locking,LOW,PASS,Test table contains no model-selection winner/rank.
all_candidate_test_diagnostics,False,False,True,diagnostic only,HIGH if used for selection,CAVEAT,Weakness-closing audit notes diagnostic test columns in validation_all files; not selection evidence.
resampling,True,False,False,train-fold only,CRITICAL if split-before or test-resampled,PASS by protocol,Strict literature reproduction forbids split-before SMOTE and test resampling.
final_claim_generation,False,False,False,audit-gated only,HIGH,PASS,Claim control forbids automatic rejection and SCRE-dominance claims.
