dataset,model,source_model,split,selection_split,calibration_type,cost_scenario,fn_cost,fp_cost,threshold_only_threshold,low_risk_threshold,high_risk_threshold,test_set_used_for_band_selection,valid_for_band_selection,selection_objective_validation,guidelines_met_count_validation,selection_policy,low_risk_count,manual_review_count,high_risk_count,auto_decision_rate,manual_review_rate,default_rate_low_risk,default_rate_manual_review,default_rate_high_risk,captured_defaults_high_risk,captured_defaults_high_risk_rate,remaining_expected_cost,no_review_expected_cost,threshold_only_expected_cost,cost_reduction_vs_no_review,cost_reduction_vs_threshold_only,cost_reduction_pct_vs_no_review,cost_reduction_pct_vs_threshold_only,low_risk_default_count,manual_review_default_count,high_risk_default_count,high_risk_non_default_count,overall_default_rate,band_rank_within_split
heloc,Best CatBoost,catboost,test,validation,isotonic,B_FN5_FP1,5.0,1.0,0.14,0.13,0.36,False,False,741.5,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",124,533,1318,0.730126582278481,0.26987341772151896,0.10483870967741936,0.2326454033771107,0.6760242792109257,891,0.8667315175097277,492.0,5140.0,898.0,4648.0,406.0,0.9042801556420234,0.4521158129175947,13,124,891,427,0.520506329113924,1
heloc,Best Scorecard,woe_scorecard_logistic_regression,test,validation,sigmoid,B_FN5_FP1,5.0,1.0,0.16,0.16,0.39,False,False,729.0,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",169,533,1273,0.730126582278481,0.26987341772151896,0.11242603550295859,0.2607879924953096,0.6834249803613511,870,0.8463035019455253,498.0,5140.0,892.0,4642.0,394.0,0.9031128404669261,0.44170403587443946,19,139,870,403,0.520506329113924,2
heloc,Old SCRE-Credit,SCRE-Credit,test,validation,weighted_sum_plus_isotonic,B_FN5_FP1,5.0,1.0,0.17,0.1,0.35,False,False,741.5,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",47,537,1391,0.7281012658227848,0.27189873417721516,0.10638297872340426,0.20297951582867785,0.6570812365204889,914,0.8891050583657587,502.0,5140.0,895.0,4638.0,393.0,0.9023346303501946,0.43910614525139663,5,109,914,477,0.520506329113924,3
heloc,SCRE-Pareto,SCRE-Pareto,test,validation,weighted_sum_of_calibrated_pareto_front_probabilities,B_FN5_FP1,5.0,1.0,0.19,0.13,0.34,False,False,747.0,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",44,539,1392,0.7270886075949367,0.2729113924050633,0.11363636363636363,0.20222634508348794,0.6566091954022989,914,0.8891050583657587,503.0,5140.0,904.0,4637.0,401.0,0.9021400778210117,0.4435840707964602,5,109,914,478,0.520506329113924,4
heloc,SCRE-Optimized,SCRE-Optimized,test,validation,validation_optimized_weighted_sum_B_pr_auc_heavy,B_FN5_FP1,5.0,1.0,0.22,0.22,0.41,False,False,732.0,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",185,501,1289,0.7463291139240507,0.25367088607594934,0.12432432432432433,0.24151696606786427,0.6858029480217223,884,0.8599221789883269,520.0,5140.0,900.0,4620.0,380.0,0.8988326848249028,0.4222222222222222,23,121,884,405,0.520506329113924,5
heloc,Best Scorecard,woe_scorecard_logistic_regression,validation,validation,sigmoid,B_FN5_FP1,5.0,1.0,0.16,0.16,0.39,False,True,729.0,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",160,580,1234,0.7061803444782169,0.2938196555217832,0.0875,0.25517241379310346,0.7009724473257699,865,0.8422590068159689,439.0,5135.0,871.0,4696.0,432.0,0.914508276533593,0.49598163030998854,14,148,865,369,0.5202634245187436,1
heloc,Old SCRE-Credit,SCRE-Credit,validation,validation,weighted_sum_plus_isotonic,B_FN5_FP1,5.0,1.0,0.17,0.1,0.35,False,True,741.5,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",53,583,1338,0.704660587639311,0.29533941236068895,0.05660377358490566,0.20754716981132076,0.6748878923766816,903,0.8792599805258033,450.0,5135.0,884.0,4685.0,434.0,0.9123661148977604,0.49095022624434387,3,121,903,435,0.5202634245187436,2
heloc,Best CatBoost,catboost,validation,validation,isotonic,B_FN5_FP1,5.0,1.0,0.14,0.13,0.36,False,True,741.5,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",125,581,1268,0.7056737588652482,0.29432624113475175,0.096,0.23752151462994836,0.6916403785488959,877,0.8539435248296008,451.0,5135.0,883.0,4684.0,432.0,0.9121713729308666,0.48924122310305773,12,138,877,391,0.5202634245187436,3
heloc,SCRE-Pareto,SCRE-Pareto,validation,validation,weighted_sum_of_calibrated_pareto_front_probabilities,B_FN5_FP1,5.0,1.0,0.19,0.13,0.34,False,True,747.0,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",49,580,1345,0.7061803444782169,0.2938196555217832,0.061224489795918366,0.20862068965517241,0.6713754646840149,903,0.8792599805258033,457.0,5135.0,888.0,4678.0,431.0,0.9110029211295034,0.48536036036036034,3,121,903,442,0.5202634245187436,4
heloc,SCRE-Optimized,SCRE-Optimized,validation,validation,validation_optimized_weighted_sum_B_pr_auc_heavy,B_FN5_FP1,5.0,1.0,0.22,0.22,0.41,False,True,732.0,4,"validation-only search over low/high thresholds; minimize remaining auto-decision cost with manual-review-width, auto-coverage, high-risk-recall, and low-risk-leakage penalties",202,528,1244,0.7325227963525835,0.2674772036474164,0.0891089108910891,0.2708333333333333,0.6961414790996785,866,0.8432327166504382,468.0,5135.0,853.0,4667.0,385.0,0.9088607594936708,0.451348182883939,18,143,866,378,0.5202634245187436,5
