criterion,V2,Final_Attempt,winner,reason
audit readiness,"READY, 0 critical/high/medium","BLOCKED, 9 critical and 4 high issues",V2,Final Attempt cannot be final while audit is BLOCKED.
test leakage status,No test-selection issue in V2 audit,No detected test-selection leakage,Tie,"Both are acceptable on leakage, but Final Attempt fails metric consistency."
metric consistency,Pass in final_audit_v2,Fails manual-review metric identities,V2,Displayed Final Attempt metrics are not always recomputable from displayed confusion counts.
operational performance,Taiwan CatBoost MR cost 2705.5; HELOC Scorecard MR cost 764.5,Taiwan XGBoost MR cost 2775.5; HELOC similar to V2,V2,Final Attempt did not clearly improve the main operational result.
false-positive reduction,Taiwan FP reduced 1982 -> 680 vs old aggressive CatBoost,Taiwan Final Attempt FP 795,V2,V2 has fewer Taiwan false positives than Final Attempt locked operational row.
manual-review usability,Clear locked policy and cost interpretation,Useful but auditability warnings in locked rows,V2,Final Attempt needs manual-review denominator repair.
interpretability,HELOC Scorecard main; Taiwan scorecard as benchmark,Monotonic/EBM/Scorecard stress tests useful,Hybrid,"V2 for main result, Final Attempt for appendix interpretability evidence."
external validation,HELOC Scorecard manual-review READY,HELOC Scorecard essentially preserves V2,V2,V2 already provides a clean external-validation story.
literature reproduction value,Not primary purpose,Strong appendix value,Final Attempt,Negative leakage-free reproduction is useful but not a final operational result.
report safety,Safe as final main evidence,Safe only as stress-test/appendix with BLOCKED caveat,V2,Main report should not depend on blocked rows.
