literature_theme,typical_method,reported_strength,project_equivalent,project_result,stronger_or_weaker,safe_interpretation
Imbalanced learning,SMOTE/ADASYN/weighted losses ile minority recall artırılır.,Promptlarda resampling ve weighting leakage-free denendi.,Recall/capacity trade-off açık incelendi.,Raw high-score hedefi değil; V2 replacement çıkmadı.,Farklı split/protokol nedeniyle doğrudan skor kıyası sınırlı.,Negative but useful robustness finding.
KMeansSMOTE,Bazı çalışmalarda büyük skor sıçraması iddia edilir.,Strict literature reproduction içinde denendi.,Split-before-resampling kuralı korunarak daha dürüst protokol.,V2 yerine audit-ready final replacement olmadı.,Literature protokolleri farklı olabilir.,Yüksek literatür skorları leakage-free protokolle kontrol edilmelidir.
BP Neural Network / DNN,Nonlinear tabular model ile yüksek AUC/accuracy iddiaları.,Final Attempt deep tabular reproduction.,Overclaim yapılmadı.,Audit-ready final model olmadı.,Hiperparametre/split farkları etkiler.,DNN negatif sonucu raporda dürüstçe appendix olarak verilmeli.
Boosting models,XGBoost/LightGBM/CatBoost credit scoring'de güçlüdür.,Taiwan final CatBoost; HELOC scorecard.,CatBoost Taiwan operational policy güçlü.,Tek model her dataset için kazanmadı.,Dataset schemas differ.,Model seçimi hedefe/dataset'e bağlıdır.
Scorecard,Regüle kredi riskinde yorumlanabilir baseline.,WOE/scorecard HELOC final.,HELOC'ta interpretable final policy.,Taiwan'da CatBoost kadar operasyonel olmadı.,Scorecard simplicity-performance trade-off.,Scorecard güçlü benchmark olarak kalır.
XAI / SHAP / LIME,Model açıklanabilirliği ve yerel/global açıklamalar.,"SHAP/LIME, agreement, local cases üretildi.",Interpretability evidence zengin.,Causality claim yok.,Feature correlation affects explanations.,XAI model behavior sanity check'tir.
SHAP stability,Seed/ranking stability önemli.,Kendall's W ve top-k stability eklendi.,Reliability discussion güçlendi.,Lin & Wang gibi çalışmalarla birebir aynı değil.,Seed/model/feature differences.,Stability appendix/supporting evidence.
Cost-sensitive threshold,FN/FP maliyetleri threshold politikasını değiştirir.,"FN/FP sensitivity, review adjusted cost, instance proxy cost.",Accuracy dışına çıkan karar mantığı.,Gerçek banka cost yok.,Proxy costs are assumptions.,Sensitivity analysis olarak sunulmalı.
Manual review / reject option,Belirsiz vakaları insan incelemesine gönderme.,V2 final manual-review policy.,Automatic rejection yerine güvenli decision support.,MR workload yüksek olabilir.,Operational capacity unknown.,Projenin ana katkı yönlerinden biri.
Decision curve / net benefit,Treat-all/treat-none karşısında karar faydası.,Decision curve analysis eklendi.,Decision usefulness tartışmasını güçlendirdi.,"Final selector değil, supporting.",Threshold utility assumptions.,Supporting decision evidence.
Reliability framework,Performance+calibration+cost+stability+faithfulness entegrasyonu.,SCRE-Credit framework.,Structured comparison and prioritization.,Dominant classifier değil.,Framework claims differ from classifier claims.,SCRE reliability-aware framework olarak konumlanmalı.
