claim,supported,evidence_file,evidence_metric,safe_wording,unsafe_wording,final_status
SCRE-Credit outperforms all individual models.,NO,outputs/tables/final_decision_matrix.csv; outputs/tables/scre_revision_comparison_taiwan.csv; outputs/tables/scre_revision_comparison_heloc.csv,Taiwan cost winner=Best CatBoost (3247) vs SCRE-Optimized (3312) and SCRE-Pareto (3307); HELOC cost winner=Best Scorecard (892) vs SCRE-Optimized (900).,"SCRE-Optimized is a reliability-aware ensemble framework that improves some SCRE-family metrics, especially PR-AUC, but individual models remain stronger for some operational objectives.",SCRE-Credit outperforms all individual models.,DO NOT CLAIM
SCRE-Credit is the best model on Taiwan.,NO,outputs/tables/scre_revision_comparison_taiwan.csv; outputs/tables/final_decision_matrix.csv,"Taiwan operational winner=Best CatBoost cost=3247; SCRE-Optimized cost=3312, PR-AUC=0.5669; SCRE-Pareto cost=3307.","On Taiwan, CatBoost is the observed operational winner under FN=5, FP=1; SCRE-Optimized is the strongest SCRE-family/raw PR-AUC framework candidate.",SCRE-Credit is the best model on Taiwan.,DO NOT CLAIM
SCRE-Credit is the best model on HELOC.,NO,outputs/tables/scre_revision_comparison_heloc.csv; outputs/tables/final_decision_matrix.csv,"HELOC operational winner=Best Scorecard cost=892; Best CatBoost cost=898; SCRE-Optimized cost=900, PR-AUC=0.8130.","On HELOC, Scorecard is the observed cost winner, while SCRE-Optimized is competitive and wins PR-AUC in the final comparison.",SCRE-Credit is the best model on HELOC.,DO NOT CLAIM
CatBoost is the strongest operational model on Taiwan.,YES,outputs/tables/scre_revision_comparison_taiwan.csv; outputs/tables/manual_review_band_revision_taiwan.csv,"Threshold-only expected cost=3247, operational_rank=1; manual-review remaining cost=1820 for Best CatBoost with auto_decision_rate=0.7048.","CatBoost is the strongest observed Taiwan operational model under the explicit FN=5, FP=1 cost scenario and the revised manual-review policy.",CatBoost is universally the best credit-risk model.,CLAIM WITH SCOPE
Scorecard remains competitive and highly interpretable.,YES,outputs/tables/final_decision_matrix.csv; outputs/tables/scre_revision_comparison_taiwan.csv; outputs/tables/scre_revision_comparison_heloc.csv,"Final interpretable winner=Best Scorecard; Taiwan Scorecard cost=3395; HELOC Scorecard cost=892, operational_rank=1.","Scorecard is the most interpretable benchmark and remains competitive, especially as the HELOC expected-cost winner; it is not the Taiwan predictive or cost winner.",Scorecard is as strong as every black-box model on every metric.,CLAIM WITH SCOPE
Calibration improves probability reliability but not necessarily AUC.,YES,outputs/tables/calibration_results_taiwan.csv; outputs/tables/calibration_results_heloc.csv,Taiwan: ECE uncal=0.0693 vs best isotonic=0.0091; Brier uncal=0.1504 vs best isotonic=0.1375; ROC-AUC uncal=0.7590 | HELOC: ECE uncal=0.0687 vs best isotonic=0.0196; Brier uncal=0.2065 vs best sigmoid=0.1873; ROC-AUC uncal=0.7739,"Calibration is reported as a probability-reliability step that improves ECE/Brier behavior in validation averages, not as an AUC-improvement method.",Calibration guarantees better discrimination or higher AUC.,CLAIM WITH SCOPE
Cost-sensitive thresholding improves default capture under explicit cost assumptions.,YES,outputs/tables/manual_review_band_revision_taiwan.csv; outputs/tables/manual_review_band_revision_heloc.csv; outputs/tables/scre_revision_comparison_taiwan.csv; outputs/tables/scre_revision_comparison_heloc.csv,"Taiwan CatBoost recall=0.8093, cost=3247, manual-review high-risk captured defaults=763, cost reduction vs threshold-only=1427; HELOC best-review captured defaults=891, cost reduction vs threshold-only=406.","Cost-sensitive thresholding and manual-review bands improve decision support under the stated FN=5, FP=1 assumption; conclusions change if the cost ratio changes.",Thresholding always improves model quality independent of cost assumptions.,CLAIM WITH SCOPE
SHAP explanations are stable across repeated seeds.,PARTIAL,outputs/tables/kendalls_w_stability_taiwan.csv; outputs/tables/kendalls_w_stability_heloc.csv; outputs/tables/shap_stability_literature_comparison.csv,Taiwan LightGBM top-5 Kendall's W=0.8928 over 50 seeds; HELOC LightGBM top-5 Kendall's W=1.0000 over 50 seeds,"The computed LightGBM SHAP stability protocol shows high top-k rank stability across repeated seeds; direct CatBoost, Scorecard, and SCRE ensemble-specific stability was not computed.",All SHAP explanations for all final models are stable.,CLAIM WITH SCOPE
SHAP explanations are sensitive to intentionally shifted background distributions.,YES,outputs/tables/background_sensitivity_results.csv,top-k overlap range=0.3000-0.9000; Spearman range=0.7097-0.9953; max mean abs SHAP drift=0.0880; max relative drift=2.9359,Background-sensitivity analysis shows SHAP ranking and magnitude drift under intentionally shifted background sets.,SHAP explanations are invariant to background choice.,CLAIM WITH SCOPE
Faithfulness analysis supports model reliance on top SHAP features but does not prove causality.,YES,outputs/tables/faithfulness_results.csv; outputs/tables/faithfulness_group_results.csv,"top-k deletion max PR-AUC drop=0.2354; max ROC-AUC drop=0.1371; max cost change=1338; interpretation='model behavior sanity check, not causal proof'","Faithfulness perturbation/deletion results support a model-behavior sanity check around top-ranked SHAP features, but they are not causal evidence.",SHAP has proven the causal drivers of default risk.,CLAIM WITH SCOPE
HELOC external validation supports framework robustness.,PARTIAL,outputs/tables/external_validation_heloc_results.csv; outputs/tables/taiwan_vs_heloc_framework_comparison.csv; outputs/tables/scre_revision_comparison_heloc.csv,"HELOC external validation includes 6 test-split models; Scorecard cost=892; CatBoost cost=898; Old SCRE cost=895; SCRE-Pareto cost=904; SCRE-Optimized PR-AUC=0.8130, cost=900.","HELOC external validation supports pipeline portability and shows SCRE variants remain competitive under domain shift, but it does not prove universal SCRE dominance.",HELOC proves the SCRE-Credit framework is robust in all external settings.,CLAIM WITH SCOPE
"The project proposes a reliability-aware framework, not a new fundamental ML algorithm.",YES,PROJECT_SCOPE.md; outputs/final_decision_summary.md,PROJECT_SCOPE.md states SCRE-Credit is a framework-level contribution and no-new-base-classifier guardrail=yes.,"SCRE-Credit is presented as a reliability-aware ensemble and evaluation framework for credit risk, not as a new fundamental machine-learning algorithm.",We invented a new fundamental ML algorithm for credit scoring.,SAFE TO CLAIM
