table_or_figure,source_file,section_to_place,main_or_appendix,why,caption_suggestion
V2 final result table,outputs/final_frozen_v2/final_v2_*_operational_policy.csv,Executive Summary / V2 Ana Sonuçlar,main,Final audit-ready operational evidence.,Final V2 manual-review policies.
V2 vs V3 decision table,outputs/final_weakness_closing/final_selection/v2_vs_v3_selection_*.csv,Final Karar: Neden V2?,main,Shows why V3 did not replace V2.,V2 vs V3 final selection decision.
Taiwan recall candidate table,outputs/final_weakness_closing/taiwan_recall/taiwan_recall_policy_locked_test.csv,Weakness-Closing / Taiwan Recall,appendix,Recall improved but trade-offs remain.,Taiwan recall-improving V3 candidates.
Capacity-aware review table,outputs/final_weakness_closing/capacity_review/capacity_model_comparison.csv,Capacity-Aware Review,appendix/supporting,Shows top-K review value.,Default capture and lift at review capacity.
HELOC specificity candidate table,outputs/final_weakness_closing/heloc_specificity/heloc_specificity_locked_test.csv,HELOC Specificity,appendix,Specificity improved but cost increased.,HELOC specificity V3 candidates.
Cost sensitivity table,outputs/final_weakness_closing/cost_sensitivity/cost_sensitivity_all.csv,Cost Sensitivity,appendix/supporting,Cost assumption robustness.,Cost sensitivity across FN/FP and review costs.
Decision curve figure,outputs/final_weakness_closing/cost_sensitivity/decision_curve_taiwan.png,Decision Curve,appendix/supporting,Net benefit visualization.,Decision curve on Taiwan.
Lift@K figure,outputs/final_weakness_closing/capacity_review/lift_curve_taiwan.png,Capacity-Aware Review,appendix/supporting,Review prioritization curve.,Lift curve for top-K review.
Final audit summary,outputs/final_weakness_closing/audit/final_weakness_closing_audit.md,Final Audit,main,Audit status.,Final weakness-closing audit verdict.
Dataset column dictionary,outputs/full_project_discussion_report/DATASET_COLUMN_DICTIONARY.csv,Dataset Kolonları,main/appendix,Column meaning and usage.,Dataset variable dictionary.
Feature engineering inventory,outputs/full_project_discussion_report/USED_UNUSED_FEATURES.csv,Feature Engineering,main/appendix,Feature formulas.,Engineered feature inventory.
Claim control matrix,outputs/full_project_discussion_report/FINAL_CLAIM_CONTROL_TABLE.csv,Final Claim Control,main,Prevents overclaiming.,Safe and unsafe claims.
SCRE role table,outputs/final_weakness_closing/scre_prioritization/scre_topk_review_taiwan.csv,SCRE-Credit Framework,appendix/supporting,SCRE as ranking/framework.,SCRE top-K prioritization.
Weakness-closing summary,outputs/final_weakness_closing/send_to_chatgpt/WEAKNESS_CLOSING_RESULTS_FOR_CHATGPT.md,Weakness Closing,main/supporting,Single package summary.,Weakness-closing results summary.
