claim,safe_or_unsafe,why,evidence,correct_wording,wrong_wording
V2 is the final operational version.,SAFE,Final Attempt remains appendix/stress-test evidence only.,outputs/final_frozen_v2/final_v2_audit_summary.md; V2 audit READY.,V2 is used as the final operational version in this report.,All later experiments supersede V2.
Taiwan final policy is CatBoost manual-review.,SAFE,Use screening/manual-review wording.,outputs/final_frozen_v2/final_v2_taiwan_operational_policy.csv,"For Taiwan, the final operational screening policy is V2 CatBoost manual-review.",CatBoost should automatically reject Taiwan applicants.
HELOC final policy is Scorecard manual-review.,SAFE,"HELOC supports external-validation framework evidence, not direct model transfer.",outputs/final_frozen_v2/final_v2_heloc_operational_policy.csv,"For HELOC, the final operational screening policy is V2 Scorecard manual-review.",The Taiwan model directly transfers to HELOC.
Final Attempt replaced V2.,UNSAFE,Final Attempt locked-test manual-review rows are not audit-clean.,outputs/final_frozen_v2/final_attempt_usage_status.md; Final Attempt audit BLOCKED.,Final Attempt is used as appendix robustness and stress-test evidence.,Final Attempt replaced V2 as the final operational version.
SCRE-Credit beats all individual models.,UNSAFE,CatBoost and Scorecard remain final operational winners for Taiwan and HELOC.,outputs/final_frozen_v2/final_v2_model_roles.md; outputs/final_project_inventory/scre_role_assessment.md,SCRE-Credit is evaluated as a reliability-aware framework and review-prioritization support tool.,SCRE-Credit outperforms all individual models.
SCRE-Credit is a reliability-aware framework.,SAFE,Framework claim is safe; universal dominance is not.,outputs/final_frozen_v2/final_v2_model_roles.md,"SCRE-Credit is positioned as a reliability-aware framework that organizes performance, calibration, cost, stability, faithfulness, and external-validation evidence.",SCRE-Credit is a new fundamental machine-learning algorithm.
The model is suitable for automatic credit rejection.,UNSAFE,Precision/FP behavior and governance requirements require manual-review framing.,outputs/final_frozen_v2/final_v2_do_not_claim.md,"The model is suitable for screening and manual-review support, not automatic rejection.",The model can automatically reject credit applicants.
The model is suitable for screening/manual-review prioritization.,SAFE,This is the safest operational framing.,outputs/final_frozen_v2/final_v2_main_result_table.md; outputs/final_frozen_v2/manual_review_metric_definitions.md,The final system should be presented as screening/manual-review prioritization support.,The final system is a fully automated lending decision engine.
Final Attempt can be used as appendix robustness evidence.,UNSAFE,Always mention BLOCKED audit if discussing final locked-test rows.,outputs/final_frozen_v2/final_attempt_usage_status.md,"Final Attempt is included as appendix robustness evidence, clearly labeled as not final operational evidence.",Final Attempt results are the main final results.
Final Attempt locked-test rows are final evidence.,UNSAFE,Audit reported 9 critical metric-consistency failures.,outputs/final_attempt/audit/final_attempt_audit.md,Final Attempt locked-test rows are diagnostic only until metric-consistency issues are repaired.,Final Attempt locked-test rows are final audit-clean evidence.
Literature-inspired resampling/DNN gave a clean operational replacement.,UNSAFE,Use as negative/robustness finding.,outputs/final_attempt/report_to_user/FINAL_ATTEMPT_RESULTS_FOR_CHATGPT.md; outputs/final_project_inventory/literature_positioning_summary.md,Literature-inspired resampling and DNN experiments were useful robustness checks but did not cleanly replace V2.,KMeansSMOTE or DNN reproduced the high literature scores and replaced V2.
Manual-review cost is identical to binary FN/FP cost.,UNSAFE,"Manual-review policies have low-risk, manual-review, and high-risk buckets.",outputs/final_frozen_v2/manual_review_metric_definitions.md,Manual-review cost is separate from binary FN/FP cost and includes workflow/review assumptions.,Manual-review cost can be interpreted exactly like binary expected cost.
V2 is the final audit-ready operational version.,SAFE,V2 audit READY and frozen.,outputs/final_frozen_v2/final_readiness_check.md,V2 is the final operational evidence.,Final Attempt replaced V2.
This is an automatic credit rejection system.,UNSAFE,"Manual-review policy, precision and FP caveats remain.",outputs/final_frozen_v2/final_v2_do_not_claim.md,The system supports screening/manual-review prioritization.,The model can automatically reject applicants.
SCRE beats all models.,UNSAFE,Claim control says no; CatBoost/Scorecard win some operational roles.,outputs/tables/claim_control_matrix.csv,SCRE is a reliability-aware framework and review-prioritization support.,SCRE-Credit outperforms all individual models.
V3 is final.,UNSAFE,Weakness-closing selector kept V2.,outputs/final_weakness_closing/final_selection/final_selection_summary.md,V3 candidates are appendix/diagnostic candidates.,V3 replaces V2.
Real temporal validation was performed.,UNSAFE,No verified timestamp exists.,outputs/final_weakness_closing/temporal_robustness/temporal_data_availability_check.md,Only pseudo/order robustness diagnostics were possible.,The model was temporally validated for deployment.
