experiment,worked_or_failed,why,evidence_file,final_role,notes
V2 CatBoost manual-review Taiwan,WORKED AS FINAL,"Audit-ready, validation-selected, locked test evidence; balanced FP control vs old aggressive policy.",outputs/final_frozen_v2/final_v2_taiwan_operational_policy.csv,FINAL MAIN EVIDENCE,Screening/manual-review only.
V2 Scorecard manual-review HELOC,WORKED AS FINAL,External dataset tarafında interpretable ve audit-ready operational policy.,outputs/final_frozen_v2/final_v2_heloc_operational_policy.csv,FINAL MAIN EVIDENCE,Direct transfer claim değil.
SCRE top-K review prioritization,WORKED AS APPENDIX,SCRE-Optimized top-20 capture/lift iyi; framework rolünü güçlendirdi.,outputs/final_weakness_closing/scre_prioritization/scre_topk_review_taiwan.csv,APPENDIX / FRAMEWORK,Dominant classifier claim yok.
Taiwan recall candidate,WORKED AS APPENDIX,Recall 0.575'ten 0.633'e çıktı; FP arttı ve precision/specificity düştü.,outputs/final_weakness_closing/taiwan_recall/taiwan_recall_policy_locked_test.csv,APPENDIX / V3 candidate,V2'yi değiştirmedi.
HELOC specificity candidate,WORKED AS APPENDIX,Specificity 0.574'ten 0.676'ya çıktı; cost arttı ve recall düştü.,outputs/final_weakness_closing/heloc_specificity/heloc_specificity_locked_test.csv,APPENDIX / V3 candidate,V2'yi değiştirmedi.
Capacity-aware review,WORKED AS APPENDIX,Top-K review prioritization hocaya anlatılabilir güçlü operasyonel analiz verdi.,outputs/final_weakness_closing/capacity_review/capacity_model_comparison.csv,APPENDIX / SUPPORTING,Automatic decision değil.
Instance-dependent cost,WORKED AS APPENDIX,Gerçek cost yokluğunu proxy sensitivity ile tartışılabilir hale getirdi.,outputs/final_weakness_closing/instance_cost/instance_cost_summary.md,APPENDIX,Gerçek bank loss değil.
Final Attempt,DID NOT REPLACE V2,Metric consistency audit BLOCKED; repaired only for appendix.,outputs/final_attempt/audit/final_attempt_audit.md,APPENDIX ONLY,Final evidence olarak kullanılmayacak.
DNN/BP NN,DID NOT REPLACE V2,Leakage-free reproduction V2'yi temiz şekilde geçmedi / final audit blocked package içinde kaldı.,outputs/final_attempt/deep_tabular/deep_tabular_summary.md,APPENDIX / NEGATIVE RESULT,Literature high-score overclaim yok.
KMeansSMOTE / literature reproduction,DID NOT REPLACE V2,Doğal test dağılımında audit-ready operational replacement olmadı.,outputs/final_attempt/literature_reproduction/literature_reproduction_summary.md,APPENDIX / ROBUSTNESS,Split-before-SMOTE kuralı korunmalı.
Temporal robustness,LIMITATION,Gerçek timestamp yok; pseudo/order diagnostic limitation only.,outputs/final_weakness_closing/temporal_robustness/temporal_robustness_summary.md,LIMITATION,Gerçek deployment validation değil.
Real bank cost,LIMITATION,Gerçek zarar/fayda maliyeti yok; sensitivity/proxy cost kullanıldı.,outputs/final_weakness_closing/cost_sensitivity/cost_decision_summary.md,LIMITATION,Claim sınırı gerekli.
