dataset,feature_name,source_columns,formula,reason,used_in_model,used_in_error_analysis,used_in_cost_analysis,used_in_explainability,risk_of_redundancy,kept_or_removed,uses_target,notes
taiwan,delay_count,"PAY_0, PAY_2, PAY_3, PAY_4, PAY_5, PAY_6",count(PAY_0..PAY_6 > 0 after clipping negative pay-status codes to 0),payment_delay_frequency,True,True,False,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
taiwan,severe_delay_count,"PAY_0, PAY_2, PAY_3, PAY_4, PAY_5, PAY_6",count(PAY_0..PAY_6 >= 2 after clipping negative pay-status codes to 0),severe_payment_delay_frequency,True,True,False,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
taiwan,max_delay,"PAY_0, PAY_2, PAY_3, PAY_4, PAY_5, PAY_6",row-wise max(PAY_0..PAY_6 after clipping negative pay-status codes to 0),maximum_delay_severity,True,True,False,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
taiwan,avg_delay,"PAY_0, PAY_2, PAY_3, PAY_4, PAY_5, PAY_6",row-wise mean(PAY_0..PAY_6 after clipping negative pay-status codes to 0),average_delay_severity,True,True,False,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
taiwan,recent_delay,"PAY_0, PAY_2",1 if PAY_0 > 0 or PAY_2 > 0 after clipping negative pay-status codes to 0 else 0,recent_payment_delay,True,True,False,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
taiwan,total_bill_amt,"BILL_AMT1, BILL_AMT2, BILL_AMT3, BILL_AMT4, BILL_AMT5, BILL_AMT6",sum(BILL_AMT1..BILL_AMT6),six_month_total_billed_amount,True,True,True,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
taiwan,avg_bill_amt,"BILL_AMT1, BILL_AMT2, BILL_AMT3, BILL_AMT4, BILL_AMT5, BILL_AMT6",mean(BILL_AMT1..BILL_AMT6),average_bill_amount,True,True,True,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
taiwan,max_bill_amt,"BILL_AMT1, BILL_AMT2, BILL_AMT3, BILL_AMT4, BILL_AMT5, BILL_AMT6",max(BILL_AMT1..BILL_AMT6),maximum_bill_amount,True,True,True,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
taiwan,bill_trend,"BILL_AMT1, BILL_AMT6",BILL_AMT1 - BILL_AMT6,recent_change_in_bill_balance,True,True,True,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
taiwan,total_pay_amt,"PAY_AMT1, PAY_AMT2, PAY_AMT3, PAY_AMT4, PAY_AMT5, PAY_AMT6",sum(PAY_AMT1..PAY_AMT6),six_month_total_payment_amount,True,True,True,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
taiwan,avg_pay_amt,"PAY_AMT1, PAY_AMT2, PAY_AMT3, PAY_AMT4, PAY_AMT5, PAY_AMT6",mean(PAY_AMT1..PAY_AMT6),average_payment_amount,True,True,True,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
taiwan,max_pay_amt,"PAY_AMT1, PAY_AMT2, PAY_AMT3, PAY_AMT4, PAY_AMT5, PAY_AMT6",max(PAY_AMT1..PAY_AMT6),maximum_payment_amount,True,True,True,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
taiwan,payment_to_bill_ratio,"total_pay_amt, total_bill_amt",total_pay_amt / (abs(total_bill_amt) + 1),repayment_capacity_relative_to_balance,True,True,True,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
taiwan,utilization_proxy,"avg_bill_amt, LIMIT_BAL",avg_bill_amt / (LIMIT_BAL + 1),credit_limit_utilization_proxy,True,True,True,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
taiwan,recent_payment_intensity,"PAY_AMT1, PAY_AMT2, BILL_AMT1, BILL_AMT2",(PAY_AMT1 + PAY_AMT2) / (abs(BILL_AMT1) + abs(BILL_AMT2) + 1),recent_repayment_intensity,True,True,True,True,MEDIUM; several engineered features summarize overlapping payment/bill behavior.,kept,False,"Row-wise, target-free feature engineering; allowed before split because no fitted statistics or target are used."
