claim,status,evidence,safe_wording,unsafe_wording,notes
V2 is the final operational version.,SUPPORTED,outputs/final_frozen_v2/final_v2_audit_summary.md; V2 audit READY.,V2 is used as the final operational version in this report.,All later experiments supersede V2.,Final Attempt remains appendix/stress-test evidence only.
Taiwan final policy is CatBoost manual-review.,SUPPORTED,outputs/final_frozen_v2/final_v2_taiwan_operational_policy.csv,"For Taiwan, the final operational screening policy is V2 CatBoost manual-review.",CatBoost should automatically reject Taiwan applicants.,Use screening/manual-review wording.
HELOC final policy is Scorecard manual-review.,SUPPORTED,outputs/final_frozen_v2/final_v2_heloc_operational_policy.csv,"For HELOC, the final operational screening policy is V2 Scorecard manual-review.",The Taiwan model directly transfers to HELOC.,"HELOC supports external-validation framework evidence, not direct model transfer."
Final Attempt replaced V2.,DO NOT CLAIM,outputs/final_frozen_v2/final_attempt_usage_status.md; Final Attempt audit BLOCKED.,Final Attempt is used as appendix robustness and stress-test evidence.,Final Attempt replaced V2 as the final operational version.,Final Attempt locked-test manual-review rows are not audit-clean.
SCRE-Credit beats all individual models.,DO NOT CLAIM,outputs/final_frozen_v2/final_v2_model_roles.md; outputs/final_project_inventory/scre_role_assessment.md,SCRE-Credit is evaluated as a reliability-aware framework and review-prioritization support tool.,SCRE-Credit outperforms all individual models.,CatBoost and Scorecard remain final operational winners for Taiwan and HELOC.
SCRE-Credit is a reliability-aware framework.,SUPPORTED,outputs/final_frozen_v2/final_v2_model_roles.md,"SCRE-Credit is positioned as a reliability-aware framework that organizes performance, calibration, cost, stability, faithfulness, and external-validation evidence.",SCRE-Credit is a new fundamental machine-learning algorithm.,Framework claim is safe; universal dominance is not.
The model is suitable for automatic credit rejection.,DO NOT CLAIM,outputs/final_frozen_v2/final_v2_do_not_claim.md,"The model is suitable for screening and manual-review support, not automatic rejection.",The model can automatically reject credit applicants.,Precision/FP behavior and governance requirements require manual-review framing.
The model is suitable for screening/manual-review prioritization.,SUPPORTED,outputs/final_frozen_v2/final_v2_main_result_table.md; outputs/final_frozen_v2/manual_review_metric_definitions.md,The final system should be presented as screening/manual-review prioritization support.,The final system is a fully automated lending decision engine.,This is the safest operational framing.
Final Attempt can be used as appendix robustness evidence.,SUPPORTED WITH CAVEAT,outputs/final_frozen_v2/final_attempt_usage_status.md,"Final Attempt is included as appendix robustness evidence, clearly labeled as not final operational evidence.",Final Attempt results are the main final results.,Always mention BLOCKED audit if discussing final locked-test rows.
Final Attempt locked-test rows are final evidence.,DO NOT CLAIM,outputs/final_attempt/audit/final_attempt_audit.md,Final Attempt locked-test rows are diagnostic only until metric-consistency issues are repaired.,Final Attempt locked-test rows are final audit-clean evidence.,Audit reported 9 critical metric-consistency failures.
Literature-inspired resampling/DNN gave a clean operational replacement.,DO NOT CLAIM,outputs/final_attempt/report_to_user/FINAL_ATTEMPT_RESULTS_FOR_CHATGPT.md; outputs/final_project_inventory/literature_positioning_summary.md,Literature-inspired resampling and DNN experiments were useful robustness checks but did not cleanly replace V2.,KMeansSMOTE or DNN reproduced the high literature scores and replaced V2.,Use as negative/robustness finding.
Manual-review cost is identical to binary FN/FP cost.,DO NOT CLAIM,outputs/final_frozen_v2/manual_review_metric_definitions.md,Manual-review cost is separate from binary FN/FP cost and includes workflow/review assumptions.,Manual-review cost can be interpreted exactly like binary expected cost.,"Manual-review policies have low-risk, manual-review, and high-risk buckets."
